Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402",253.000000,-131.599999,-90.000000,top
"C2","10uF","C_0402",26.800000,-116.700000,0.000000,top
"C3","10uF","C_0402",26.800000,-111.700000,0.000000,top
"C4","10uF","C_0402",46.700000,-80.799999,90.000000,top
"C5","47uF","C_0805",26.749999,-106.300000,0.000000,top
"C6","10uF","C_0402",49.400000,-80.800000,90.000000,top
"C7","10uF","C_0402",51.853553,-82.146447,45.000000,top
"C8","10uF","C_0402",48.500000,-80.800000,90.000000,top
"C9","10uF","C_0402",58.000000,-83.150001,90.000000,top
"C10","10uF","C_0402",45.953553,-86.346447,-135.000000,top
"C11","10uF","C_0402",49.199999,-90.500002,-90.000000,top
"C12","10uF","C_0402",55.550000,-83.899999,90.000000,top
"C13","10uF","C_0402",56.550000,-83.899999,90.000000,top
"C14","10uF","C_0402",29.500000,-85.040000,90.000000,top
"C15","47uF","C_0805",252.020001,-125.460000,0.000000,top
"C16","47uF","C_0805",26.749999,-110.300000,0.000000,top
"C17","47uF","C_0805",26.749999,-108.300000,0.000000,top
"C18","10uF","C_0402",50.100000,-90.500001,-90.000000,top
"C19","27pF","C_0402",61.026000,-89.000000,0.000000,top
"C20","27pF","C_0402",60.326000,-84.200000,0.000000,top
"C21","10uF","C_0402",35.325000,-80.900000,0.000000,top
"C22","10uF","C_0402",40.000000,-80.900000,180.000000,top
"C23","10uF","C_0402",26.800000,-117.700000,0.000000,top
"C24","10uF","C_0402",251.100000,-131.600001,-90.000000,top
"C25","10uF","C_0402",47.600000,-80.799999,90.000000,top
"C26","10uF","C_0402",266.000000,-95.650000,-90.000000,top
"C27","10uF","C_0402",267.000000,-95.650000,-90.000000,top
"C28","10uF","C_0402",268.000000,-95.650000,-90.000000,top
"C29","10uF","C_0402",143.000000,-117.650000,-90.000000,top
"C30","10uF","C_0402",144.000000,-117.650000,-90.000000,top
"C31","10uF","C_0402",145.000000,-117.650000,-90.000000,top
"C32","10uF","C_0402",252.050000,-131.600002,-90.000000,top
"C35","10uF","C_0402",245.500000,-125.550000,180.000000,top
"C36","1.5pF","C_0402",54.190000,-82.000000,0.000000,top
"C37","1.5pF","C_0402",53.190001,-79.600000,180.000000,top
"C38","10uF","C_0402",39.350000,-120.000000,180.000000,top
"C39","10uF","C_0402",39.350000,-121.000000,180.000000,top
"C40","10uF","C_0402",39.350000,-122.000000,180.000000,top
"C41","10uF","C_0402",89.650000,-95.000000,0.000000,top
"C42","10uF","C_0402",89.650000,-94.000000,0.000000,top
"C43","10uF","C_0402",89.650000,-93.000000,0.000000,top
"D1","MMSZ5227B","D_SOD-123",26.800000,-102.750001,90.000000,top
"D2","Red","D_0805",253.500000,-101.999999,180.000000,top
"D4","MM1W5V6","D_SOD-123",248.190000,-123.850000,90.000000,top
"D5","MM1W5V6","D_SOD-123",243.000000,-128.050000,90.000000,top
"D6","SS54","D_SMA",257.000000,-127.000000,-90.000000,top
"D7","SS54","D_SMA",261.000000,-127.000000,-90.000000,top
"D8","Green","D_0805",253.500000,-104.000000,180.000000,top
"D9","Green","D_0805",253.500000,-115.999999,180.000000,top
"D10","Red","D_0805",253.500000,-114.000000,180.000000,top
"D11","Red","D_0805",253.500000,-108.000000,180.000000,top
"D12","Green","D_0805",253.500000,-110.000000,180.000000,top
"D13","H3V3U10B","D_DFN1006-2L",54.200000,-82.850000,180.000000,top
"D100","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",33.000000,-97.000000,180.000000,top
"D101","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",36.000000,-97.000000,180.000000,top
"D102","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",39.000000,-97.803848,150.000000,top
"D103","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",41.196152,-100.000000,120.000000,top
"D104","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",42.000000,-103.000000,90.000000,top
"D105","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",42.000000,-106.000000,90.000000,top
"D106","XL-1615RGBC-WS2812B-S","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B",42.000000,-109.000000,90.000000,top
