Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402",382.000000,-175.880346,-90.000000,top
"C2","10uF","C_0402",380.000000,-214.142849,-90.000000,top
"C3","10uF","C_0402",386.950000,-175.880347,-90.000000,top
"C4","10uF","C_0402",393.046447,-174.889295,135.000000,top
"C5","47uF","C_0805",389.100000,-174.192849,90.000000,top
"C6","10uF","C_0402",397.053553,-181.796401,-45.000000,top
"C7","10uF","C_0402",396.496345,-174.406452,45.000000,top
"C8","10uF","C_0402",396.453553,-182.396400,-45.000000,top
"C9","10uF","C_0402",391.415838,-180.901174,-135.000000,top
"C11","10uF","C_0402",387.012475,-189.716771,135.000000,top
"C12","10uF","C_0402",387.719581,-189.009664,135.000000,top
"C13","10uF","C_0402",385.899998,-246.842848,0.000000,top
"C14","10uF","C_0402",385.546447,-182.096401,-135.000000,top
"C15","47uF","C_0805",391.100000,-174.192850,90.000000,top
"C16","10uF","C_0402",381.370102,-186.222747,-45.000000,top
"C17","47uF","C_0805",381.450001,-179.092848,180.000000,top
"C18","47uF","C_0805",383.200000,-218.392848,-90.000000,top
"C23","27pF","C_0402",361.350000,-51.450000,0.000000,top
"C24","27pF","C_0402",361.350000,-53.300000,0.000000,top
"C35","10uF","C_0402",383.150000,-207.642848,90.000000,top
"C36","1.5pF","C_0402",395.070000,-173.842848,0.000000,top
"C37","1.5pF","C_0402",394.070001,-171.242848,180.000000,top
"C100","10uF","C_0402",454.265760,-149.753041,90.000000,top
"C101","10uF","C_0402",456.115760,-149.753041,90.000000,top
"C102","10uF","C_0402",457.965760,-149.753041,90.000000,top
"C103","10uF","C_0402",459.815760,-149.753041,90.000000,top
"C104","10uF","C_0402",461.665760,-149.753041,90.000000,top
"C105","10uF","C_0402",463.515760,-149.753041,90.000000,top
"C106","10uF","C_0402",454.265760,-152.603041,90.000000,top
"C107","10uF","C_0402",454.538218,-146.824380,109.098593,top
"C108","10uF","C_0402",462.779524,-155.506928,80.450703,top
"C109","10uF","C_0402",456.115760,-152.603041,90.000000,top
"C110","10uF","C_0402",457.965760,-152.603041,90.000000,top
"C111","10uF","C_0402",462.718255,-158.436534,95.371479,top
"C112","10uF","C_0402",465.748276,-149.834636,118.647890,top
"C113","10uF","C_0402",456.933134,-146.824380,109.098593,top
"C114","10uF","C_0402",459.328050,-146.824380,109.098593,top
"C115","10uF","C_0402",454.736648,-155.507687,128.197186,top
"C116","10uF","C_0402",457.528424,-155.507687,128.197186,top
"C117","10uF","C_0402",459.815760,-152.603041,90.000000,top
"C118","10uF","C_0402",460.320200,-155.507687,128.197186,top
"C119","10uF","C_0402",464.917052,-155.506928,99.549297,top
"C120","10uF","C_0402",461.722966,-146.824380,70.901407,top
"C121","10uF","C_0402",461.665760,-152.603041,90.000000,top
"C122","10uF","C_0402",464.117882,-146.824380,70.901407,top
"C123","10uF","C_0402",466.512798,-146.824380,70.901407,top
"D1","MMSZ5227B","D_SOD-123",384.470000,-173.142848,180.000000,top
"D2","Red","D_0805",376.000000,-200.782847,90.000000,top
