Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402",61.037498,-227.000000,0.000000,top
"C2","10uF","C_0402",99.300001,-229.000000,0.000000,top
"C3","10uF","C_0402",61.037499,-222.050000,0.000000,top
"C4","10uF","C_0402",60.046447,-215.953553,-135.000000,top
"C5","47uF","C_0805",59.350001,-219.900000,180.000000,top
"C6","10uF","C_0402",66.953553,-211.946447,45.000000,top
"C7","10uF","C_0402",59.563604,-212.503655,135.000000,top
"C8","10uF","C_0402",67.553553,-212.546447,45.000000,top
"C9","10uF","C_0402",66.058326,-217.584162,-45.000000,top
"C11","10uF","C_0402",74.873923,-221.987525,-135.000000,top
"C12","10uF","C_0402",74.166816,-221.280419,-135.000000,top
"C13","10uF","C_0402",132.000000,-223.100001,90.000000,top
"C14","10uF","C_0402",67.253553,-223.453553,-45.000000,top
"C15","47uF","C_0805",59.350001,-217.900000,180.000000,top
"C16","10uF","C_0402",71.379899,-227.629898,45.000000,top
"C17","47uF","C_0805",64.250000,-227.549999,-90.000000,top
"C18","47uF","C_0805",103.550000,-225.800000,0.000000,top
"C19","27pF","C_0402",60.621249,-207.245867,135.000000,top
"C20","27pF","C_0402",57.770639,-211.086427,135.000000,top
"C35","10uF","C_0402",92.800001,-225.850000,180.000000,top
"C36","1.5pF","C_0402",59.000000,-213.930001,90.000000,top
"C37","1.5pF","C_0402",56.400000,-214.929999,-90.000000,top
"C100","10uF","C_0402",112.700000,-231.000000,90.000000,top
"C101","10uF","C_0402",112.700000,-228.000000,90.000000,top
"C102","10uF","C_0402",112.700000,-213.000000,90.000000,top
"C103","10uF","C_0402",112.700000,-192.000000,90.000000,top
"C104","10uF","C_0402",109.300000,-180.000000,90.000000,top
"C105","10uF","C_0402",120.451153,-168.030060,90.000000,top
"C106","10uF","C_0402",120.451153,-156.030060,90.000000,top
"C107","10uF","C_0402",119.822053,-132.079712,109.098593,top
"C108","10uF","C_0402",116.277322,-121.761547,80.450703,top
"C109","10uF","C_0402",115.346934,-112.904652,90.000000,top
"C110","10uF","C_0402",118.746934,-91.904652,90.000000,top
"C111","10uF","C_0402",111.990336,-170.871598,95.371479,top
